timestamp,cpu_percent,memory_mb
1758279078.0938344,77.4,106.27734375
1758279079.09801,29.9,106.5234375
1758279080.1015441,27.0,106.5234375
1758279081.1046007,29.0,106.5234375
1758279082.1075432,29.0,106.5234375
1758279083.1104121,29.0,106.5234375
1758279084.1136186,28.0,106.5234375
1758279085.1198585,27.9,106.5234375
1758279086.123524,28.9,106.5234375
1758279087.1272912,27.9,106.5234375
1758279088.1310053,27.9,106.5234375
1758279089.1344206,28.9,106.5234375
1758279090.1402192,27.9,106.5234375
1758279091.1439273,27.9,106.5234375
1758279092.147861,29.9,106.5234375
1758279093.1515675,28.9,106.5234375
1758279094.1553218,28.0,106.5234375
1758279095.1587968,29.9,106.5234375
1758279096.1624725,27.9,106.5234375
1758279097.166574,28.9,106.5234375
