epoch,beam1_deg,beam2_deg,beam3_deg,beam4_deg,energy1,energy2,energy3,energy4,dominant_beam,dominance_ratio
1788692815.2272727,182.75020799901864,190.39193292545562,115.49904528004922,115.49904528004922,0.0,0.0,537744.875,537744.875,3,1.0
1788692815.3703964,182.75020799901864,190.39193292545562,115.47762580681206,115.47762580681206,0.0,0.0,0.0,0.0,1,0.0
1788692815.513552,182.75020799901864,190.39193292545562,81.95518030379453,81.95518030379453,0.0,0.0,0.0,0.0,1,0.0
1788692815.6567993,182.75020799901864,190.39193292545562,155.63310023926076,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692815.8001726,182.75020799901864,190.39193292545562,62.953607693197405,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692815.9436367,182.75020799901864,190.39193292545562,69.22533327591323,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692816.1074817,182.75020799901864,190.39193292545562,182.0095969269358,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692816.2399824,182.75020799901864,190.39193292545562,78.14206327509484,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692816.3932445,182.75020799901864,190.39193292545562,81.77556681919071,182.75020799901864,0.0,0.0,0.0,0.0,1,0.0
1788692816.5362706,182.75020799901864,190.39193292545562,75.812668239797,75.812668239797,0.0,0.0,0.0,0.0,1,0.0
1788692816.6791286,182.75020799901864,190.39193292545562,87.47144598317193,87.47144598317193,0.0,0.0,0.0,0.0,1,0.0
1788692816.8221424,182.75020799901864,190.39193292545562,91.20247096823725,91.20247096823725,0.0,0.0,0.0,0.0,1,0.0
1788692816.9860473,182.75020799901864,190.39193292545562,85.59193501793534,85.59193501793534,0.0,0.0,0.0,0.0,1,0.0
1788692817.1290379,182.75020799901864,190.39193292545562,84.1025576279007,84.1025576279007,0.0,0.0,0.0,0.0,1,0.0
1788692817.271904,182.75020799901864,190.39193292545562,83.29931372112885,83.29931372112885,0.0,0.0,0.0,0.0,1,0.0
1788692817.4251535,182.75020799901864,190.39193292545562,73.4716277319643,73.4716277319643,0.0,0.0,0.0,0.0,1,0.0
1788692817.5890465,182.75020799901864,190.39193292545562,70.91125618950416,70.91125618950416,0.0,0.0,0.0,0.0,1,0.0
1788692817.7528157,182.75020799901864,190.39193292545562,67.57158055331307,67.57158055331307,0.0,0.0,0.0,0.0,1,0.0
1788692817.8956628,182.75020799901864,190.39193292545562,97.22909521258717,97.22909521258717,0.0,0.0,0.0,0.0,1,0.0
1788692818.0491977,182.75020799901864,190.39193292545562,64.7848087304345,64.7848087304345,0.0,0.0,0.0,0.0,1,0.0
1788692818.2128165,182.75020799901864,190.39193292545562,63.71705208767558,63.71705208767558,0.0,0.0,0.0,0.0,1,0.0
1788692818.3767006,182.75020799901864,190.39193292545562,53.79035567630253,53.79035567630253,0.0,0.0,0.0,0.0,1,0.0
1788692818.519583,182.75020799901864,190.39193292545562,86.26520725499101,86.26520725499101,0.0,0.0,0.0,0.0,1,0.0
1788692818.662452,182.75020799901864,190.39193292545562,84.06628932340793,84.06628932340793,0.0,0.0,0.0,0.0,1,0.0
1788692818.8263547,182.75020799901864,190.39193292545562,110.42795084020574,110.42795084020574,165337.40625,0.0,0.0,165337.40625,1,1.0
1788692818.9695985,182.74707977237878,190.39193292545562,187.4639401112979,182.74707977237878,2833278.0,0.0,2633523.0,2833278.0,1,1.0
1788692819.1124742,182.75020799901864,190.39193292545562,188.4064925563813,182.75020799901864,1711417.75,0.0,1947598.0,1711417.75,3,1.1380026881221723
1788692819.2556157,182.75020799901864,190.39193292545562,189.3950804764706,182.75020799901864,2094730.0,148835.046875,2402652.75,2094730.0,3,1.1469987778854553
1788692819.4192302,182.75020799901864,190.39193292545562,188.11361404477117,182.75020799901864,2010795.125,70230.859375,2268435.0,2010795.125,3,1.1281283566867608
1788692819.562125,182.75020799901864,190.39193292545562,187.79299130475243,182.75020799901864,3110221.5,0.0,3598080.0,3110221.5,3,1.1568565132740547
1788692819.7049887,182.75020799901864,190.39193292545562,186.84198308547653,182.75020799901864,1611648.625,220149.09375,1472307.75,1611648.625,1,1.0
1788692819.8479073,182.75020799901864,190.39193292545562,186.47931370092718,182.75020799901864,2067921.375,131963.15625,1839974.0,2067921.375,1,1.0
1788692820.0119119,183.08617134391324,190.39193292545562,185.78268904709924,183.08617134391324,3081111.0,0.0,2938063.5,3081111.0,1,1.0
1788692820.1692984,183.0895727781199,190.39193292545562,208.6045913661596,183.0895727781199,2041668.0,258816.6875,1477269.5,2041668.0,1,1.0
1788692820.3122296,183.0895727781199,190.39193292545562,208.9303504084342,183.0895727781199,3015204.5,118492.0234375,2553512.0,3015204.5,1,1.0
1788692820.4551024,183.0895727781199,190.39193292545562,208.9303504084342,183.0895727781199,1154060.625,0.0,818546.875,1154060.625,1,1.0
1788692820.6187484,183.0895727781199,190.39193292545562,209.63782140266412,183.0895727781199,1883731.125,0.0,1575448.125,1883731.125,1,1.0
1788692820.7616231,183.0895727781199,190.39193292545562,184.3938247208905,183.0895727781199,3435255.25,221380.21875,3444316.5,3435255.25,3,1.0026377224807386
1788692820.9045703,183.42784472695396,190.39193292545562,208.76467733992638,183.42784472695396,857658.375,0.0,637827.6875,857658.375,1,1.0
1788692821.0475097,183.42784472695396,190.39193292545562,186.87457674819584,183.42784472695396,1524064.0,0.0,1269897.0,1524064.0,1,1.0
